arrived_at,num_prefill_tokens,num_decode_tokens,request_id
0.0,3772,54,0
2.828480710548229,2015,156,1
5.576939129165233,3858,133,2
8.382540305487886,2509,79,3
8.711710058254456,3169,189,4
8.813401116723135,3466,43,5
10.522413488142135,3389,231,6
12.181190775503985,2655,151,7
15.856833077326923,2131,170,8
15.950120368131051,3443,101,9
17.181368422887715,3174,431,10
17.264234666179256,2814,110,11
18.54543893444274,1920,267,12
20.58229464371781,2657,98,13
21.037465025588293,3117,133,14
22.48638933460191,3676,181,15
22.667299044985707,2591,803,16
22.775037006621226,3228,107,17
23.145836067953454,2321,178,18
24.206070509565404,3525,318,19
24.69193560337539,3610,189,20
26.159448485509067,3930,28,21
26.42247951164121,619,104,22
28.584797469458223,3511,151,23
30.028427896769117,1680,311,24
30.799952783784413,2332,200,25
31.290643026504195,2667,151,26
31.823960308031566,2775,189,27
31.91463930456763,1743,78,28
32.12597136853769,2509,448,29
32.93223072336622,1402,148,30
33.3895015894366,3228,112,31
34.876803774807314,2940,366,32
35.710322160002754,2550,140,33
35.99023975329454,2471,170,34
36.5326966194798,2542,148,35
37.28746925146864,3107,232,36
37.69197908845428,1221,2131,37
38.070698171873474,2691,128,38
39.10471544504117,3828,193,39
39.45406510260447,3211,285,40
41.023126779112566,999,310,41
42.659437351166574,2307,241,42
43.93482903112562,1685,118,43
44.02074473463202,3090,138,44
45.35494179548232,2348,174,45
46.948280604735466,3492,97,46
48.26832725350891,3578,130,47
48.597796806728226,2603,173,48
48.97536879618238,3179,264,49
